Date,Price (SP500),,Date1,Price (MSCI),,Date2,Price (GFD),,Date3,Price (GSCI),,Date4,Price (NAREIT),,Date5,Price (SP500 TR)
1/1/72,103.94,,1/1/72,124.25,,1/1/72,6.09,,1/1/72,144.75,,1/1/72,101.22,,1/1/88,257.47
2/1/72,106.57,,2/1/72,132.41,,2/1/72,6.04,,2/1/72,144.35,,2/1/72,102.18,,2/1/88,269.48
3/1/72,107.2,,3/1/72,136.78,,3/1/72,6.12,,3/1/72,146.26,,3/1/72,102.44,,3/1/88,261.15
4/1/72,107.67,,4/1/72,140.06,,4/1/72,6.14,,4/1/72,150.54,,4/1/72,102.7,,4/1/88,264.04
5/1/72,109.53,,5/1/72,144.62,,5/1/72,6.05,,5/1/72,154.06,,5/1/72,101.15,,5/1/88,266.32
6/1/72,107.14,,6/1/72,140.79,,6/1/72,6.15,,6/1/72,158.14,,6/1/72,101.16,,6/1/88,278.54
7/1/72,107.39,,7/1/72,148.39,,7/1/72,6.12,,7/1/72,156.71,,7/1/72,104.02,,7/1/88,277.49
8/1/72,111.09,,8/1/72,150.05,,8/1/72,6.42,,8/1/72,166.07,,8/1/72,102.84,,8/1/88,268.07
9/1/72,110.55,,9/1/72,145.17,,9/1/72,6.54,,9/1/72,178.64,,9/1/72,105.89,,9/1/88,279.49
10/1/72,111.58,,10/1/72,146.71,,10/1/72,6.41,,10/1/72,176.83,,10/1/72,108.9,,10/1/88,287.27
11/1/72,116.67,,11/1/72,156.38,,11/1/72,6.28,,11/1/72,183.79,,11/1/72,111.21,,11/1/88,283.18
12/1/72,118.05,,12/1/72,161.56,,12/1/72,6.41,,12/1/72,198.49,,12/1/72,111.19,,12/1/88,288.12
1/1/73,116.03,,1/1/73,164.35,,1/1/73,6.54,,1/1/73,205.27,,1/1/73,111.57,,1/1/89,309.21
2/1/73,111.68,,2/1/73,177.94,,2/1/73,6.64,,2/1/73,214.17,,2/1/73,104.39,,2/1/89,301.51
3/1/73,111.52,,3/1/73,179.07,,3/1/73,6.73,,3/1/73,209.07,,3/1/73,106.05,,3/1/89,308.54
4/1/73,106.97,,4/1/73,169.05,,4/1/73,6.7,,4/1/73,221.69,,4/1/73,101.94,,4/1/89,324.56
5/1/73,104.95,,5/1/73,173.17,,5/1/73,6.93,,5/1/73,262.12,,5/1/73,97.82,,5/1/89,337.69
6/1/73,104.26,,6/1/73,177.46,,6/1/73,6.94,,6/1/73,257.68,,6/1/73,98.72,,6/1/89,335.78
7/1/73,108.22,,7/1/73,175.28,,7/1/73,7.43,,7/1/73,324.09,,7/1/73,100.87,,7/1/89,366.1
8/1/73,104.25,,8/1/73,166.39,,8/1/73,7.25,,8/1/73,332.06,,8/1/73,94.28,,8/1/89,373.25
9/1/73,108.43,,9/1/73,165.29,,9/1/73,6.9,,9/1/73,315.38,,9/1/73,101.67,,9/1/89,371.74
10/1/73,108.29,,10/1/73,168.86,,10/1/73,6.71,,10/1/73,298.56,,10/1/73,102.92,,10/1/89,363.11
11/1/73,95.96,,11/1/73,144.58,,11/1/73,6.69,,11/1/73,314.19,,11/1/73,88.48,,11/1/89,370.51
12/1/73,97.55,,12/1/73,138.67,,12/1/73,6.9,,12/1/73,347.27,,12/1/73,80.93,,12/1/89,379.41
1/1/74,96.57,,1/1/74,139.62,,1/1/74,7,,1/1/74,386.02,,1/1/74,83.44,,1/1/90,353.94
2/1/74,96.22,,2/1/74,144.27,,2/1/74,7.01,,2/1/74,383.97,,2/1/74,87.26,,2/1/90,358.5
3/1/74,93.98,,3/1/74,140.56,,3/1/74,7.41,,3/1/74,339.78,,3/1/74,84.05,,3/1/90,368
4/1/74,90.31,,4/1/74,144.35,,4/1/74,7.66,,4/1/74,343.54,,4/1/74,73.77,,4/1/90,358.82
5/1/74,87.28,,5/1/74,138.74,,5/1/74,7.52,,5/1/74,320.3,,5/1/74,69.6,,5/1/90,393.8
6/1/74,86,,6/1/74,132.48,,6/1/74,7.64,,6/1/74,360.07,,6/1/74,63.2,,6/1/90,391.14
7/1/74,79.31,,7/1/74,125.79,,7/1/74,7.89,,7/1/74,445.88,,7/1/74,62.19,,7/1/90,389.89
